geocode,geocode_desc,total,owned_loan,owned_clear,rented
3759780,SCOTLAND NECK,591,301,195,95
3759980,SEABOARD,146,49,64,33
3760000,SEA BREEZE,1734,1056,377,301
3760080,SEAGROVE,211,72,59,80
3760180,SEDALIA,124,83,17,24
3760320,SELMA,1707,655,294,758
3760505,SEVEN DEVILS,183,107,22,54
3760515,SEVEN LAKES,4557,3020,1213,324
3760540,SEVEN SPRINGS,70,19,30,21
3760560,SEVERN,189,71,90,28
3760800,SHALLOTTE,2955,1478,486,991
3760940,SHANNON,15,0,9,6
3761060,SHARPSBURG,757,325,200,232
3761200,SHELBY,10743,5047,2460,3236
3761860,SILER CITY,2228,954,611,663
3761920,SILVER CITY,41,8,15,18
3761950,SILVER LAKE,4314,2598,571,1145
3762040,SIMPSON,251,157,47,47
3762060,SIMS,204,105,43,56
3762190,SKIPPERS CORNER,1601,1082,236,283
3762520,SMITHFIELD,5343,2517,1092,1734
3762680,SNEADS FERRY,2416,1036,505,875
3762760,SNOW HILL,610,288,117,205
3763120,SOUTHERN PINES,8487,4367,1682,2438
3763130,SOUTHERN SHORES,2650,1810,517,323
3763240,SOUTH HENDERSON,366,113,125,128
3763340,SOUTH MILLS,349,160,107,82
3763360,SOUTHMONT,1369,837,308,224
3763400,SOUTHPORT,2116,1124,401,591
3763470,SOUTH ROSEMARY,1182,464,364,354
3763560,SOUTH WELDON,113,30,51,32
3763680,SPARTA,1352,431,334,587
3763720,SPEED,27,8,11,8
3763760,SPENCER,1774,892,364,518
3763780,SPENCER MOUNTAIN,28,2,0,26
3763880,SPINDALE,2803,1039,582,1182
3763920,SPIVEY'S CORNER,323,195,72,56
3764160,SPRING HOPE,634,259,111,264
3764180,SPRING LAKE,4631,539,219,3873
3764260,SPRUCE PINE,1851,770,442,639
3764380,STALEY,314,176,70,68
3764420,STALLINGS,11856,9558,1238,1060
3764460,STANFIELD,1385,847,272,266
3764500,STANLEY,2986,1662,404,920
3764560,STANTONSBURG,391,196,91,104
3764580,STAR,576,238,184,154
3764740,STATESVILLE,12315,5998,2396,3921
3764840,STEDMAN,854,509,120,225
3764940,STEM,376,247,43,86
3765020,STOKES,304,160,77,67
3765040,STOKESDALE,4492,3404,548,540
3765100,STONEVILLE,829,379,248,202
3765120,STONEWALL,215,96,69,50
3765260,STONY POINT,1162,463,339,360
3765320,STOVALL,223,104,55,64
3765530,SUGAR MOUNTAIN,179,66,54,59
3765580,SUMMERFIELD,9075,7121,1313,641
3765700,SUNBURY,241,102,77,62
3765900,SUNSET BEACH,3452,1842,1184,426
3766040,SURF CITY,1747,727,319,701
3766280,SWANNANOA,3643,1689,915,1039
3766340,SWAN QUARTER,210,81,100,29
3766360,SWANSBORO,2360,1150,386,824
3766460,SWEPSONVILLE,1026,614,196,216
