geocode,geocode_desc,total,owned_loan,owned_clear,rented
3756815,RIVER ROAD,1789,757,580,452
3756900,ROANOKE RAPIDS,6437,2198,1237,3002
3757000,ROBBINS,378,109,132,137
3757020,ROBBINSVILLE,283,31,121,131
3757100,ROBERSONVILLE,677,182,213,282
3757200,ROCKFISH,1193,822,100,271
3757260,ROCKINGHAM,4042,1283,792,1967
3757340,ROCKWELL,848,385,180,283
3757500,ROCKY MOUNT,23097,8570,3558,10969
3757540,ROCKY POINT,540,220,134,186
3757580,RODANTHE,118,41,32,45
3757640,ROLESVILLE,1236,981,101,154
3757700,RONDA,173,54,70,49
3757740,ROPER,265,53,75,137
3757800,ROSEBORO,512,130,152,230
3757860,ROSE HILL,660,212,195,253
3758020,ROSMAN,230,40,97,93
3758040,ROUGEMONT,412,238,112,62
3758140,ROWLAND,463,114,149,200
3758160,ROXBORO,3479,860,646,1973
3758180,ROXOBEL,111,44,37,30
3758260,ROYAL PINES,1756,1066,383,307
3758340,RUFFIN,162,63,56,43
3758360,RURAL HALL,1249,532,244,473
3758420,RUTH,177,74,69,34
3758440,RUTHERFORD COLLEGE,575,253,181,141
3758460,RUTHERFORDTON,1730,646,414,670
3758620,ST. HELENA,157,102,37,18
3758630,ST. JAMES,1575,1068,439,68
3758720,ST. PAULS,798,250,191,357
3758730,ST. STEPHENS,3329,1724,905,700
3758740,SALEM,947,404,328,215
3758840,SALEMBURG,208,62,82,64
3758860,SALISBURY,12567,4258,2231,6078
3758920,SALUDA,310,110,123,77
3758940,SALVO,106,35,28,43
3759090,SANDY CREEK,92,56,19,17
3759135,SANDYFIELD,164,86,47,31
3759280,SANFORD,10458,3963,1542,4953
3759340,SARATOGA,166,67,52,47
3759540,SAWMILLS,2068,860,488,720
3759580,SAXAPAHAW,691,348,139,204
3759765,SCOTCH MEADOWS,195,152,35,8
3759780,SCOTLAND NECK,901,235,224,442
3759980,SEABOARD,300,88,92,120
3760000,SEA BREEZE,838,488,214,136
3760080,SEAGROVE,97,34,30,33
3760180,SEDALIA,249,157,68,24
3760320,SELMA,2215,593,266,1356
3760505,SEVEN DEVILS,93,48,15,30
3760515,SEVEN LAKES,2089,1253,697,139
3760540,SEVEN SPRINGS,55,17,20,18
3760560,SEVERN,126,33,67,26
3760800,SHALLOTTE,1583,663,285,635
3760940,SHANNON,86,15,40,31
3761060,SHARPSBURG,826,241,172,413
3761200,SHELBY,8570,2901,1630,4039
3761860,SILER CITY,2603,857,553,1193
3761920,SILVER CITY,351,124,112,115
3761950,SILVER LAKE,2114,1211,322,581
3762040,SIMPSON,183,88,48,47
3762060,SIMS,113,58,24,31
3762190,SKIPPERS CORNER,868,524,159,185
3762520,SMITHFIELD,4363,1437,798,2128
3762680,SNEADS FERRY,1166,479,285,402
3762760,SNOW HILL,714,229,150,335
3763120,SOUTHERN PINES,5866,2154,1193,2519
3763130,SOUTHERN SHORES,1159,748,287,124
3763240,SOUTH HENDERSON,451,117,123,211
3763340,SOUTH MILLS,171,67,67,37
3763360,SOUTHMONT,593,331,164,98
3763400,SOUTHPORT,1294,587,289,418
3763470,SOUTH ROSEMARY,1199,463,325,411
3763560,SOUTH WELDON,241,25,45,171
3763680,SPARTA,783,203,203,377
3763720,SPEED,35,18,8,9
3763760,SPENCER,1234,518,233,483
3763780,SPENCER MOUNTAIN,8,1,0,7
3763880,SPINDALE,1740,545,400,795
3763920,SPIVEY'S CORNER,178,89,48,41
3764160,SPRING HOPE,642,161,126,355
3764180,SPRING LAKE,4202,736,301,3165
3764260,SPRUCE PINE,868,288,238,342
3764380,STALEY,150,77,40,33
3764420,STALLINGS,5096,3930,651,515
3764460,STANFIELD,539,290,143,106
3764500,STANLEY,1364,683,230,451
3764560,STANTONSBURG,336,151,79,106
3764580,STAR,361,112,103,146
3764740,STATESVILLE,9965,3549,1668,4748
3764840,STEDMAN,404,224,77,103
3764940,STEM,194,131,27,36
3765020,STOKES,161,77,51,33
3765040,STOKESDALE,1823,1242,306,275
3765100,STONEVILLE,464,175,147,142
3765120,STONEWALL,117,41,49,27
