geocode,geocode_desc,median_age_b,median_age_m,median_age_f
3752140,PINETOPS,41.2,36.8,42.7
3752160,PINETOWN,39.3,35.5,43
3752220,PINEVILLE,35,31.9,38.5
3752260,PINEY GREEN,26.5,25.7,27.5
3752400,PINK HILL,37.3,33.3,40.6
3752500,PINNACLE,43.5,44.3,41.8
3752660,PITTSBORO,41.4,38.5,44.8
3752685,PLAIN VIEW,39.1,38.8,39.4
3752760,PLEASANT GARDEN,45.6,44.6,46.6
3752920,PLEASANT HILL,42.9,41.4,44
3753040,PLYMOUTH,41,39.6,42.4
3753140,POLKTON,34.5,34.6,33.2
3753160,POLKVILLE,41.8,41.8,41.5
3753200,POLLOCKSVILLE,45.3,38.8,50
3753475,PORTERS NECK,49.1,46.3,51.8
3753580,POTTERS HILL,43.9,41.4,46
3753680,POWELLSVILLE,47.1,45.3,47.7
3753820,PRINCETON,38.4,36.6,38.9
3753840,PRINCEVILLE,36.9,32.1,39.7
3753900,PROCTORVILLE,51.5,44,56.3
3753950,PROSPECT,36.4,35.1,38
3754160,PUMPKIN CENTER,31.7,29.8,34.3
3754580,RAEFORD,39.4,35.1,42.7
3754600,RAEMON,34,34.4,31.8
3755000,RALEIGH,31.9,30.8,32.8
3755040,RAMSEUR,39.5,33.9,44.3
3755080,RANDLEMAN,36.4,34.9,37.5
3755260,RANLO,34.9,33.6,36.1
3755340,RAYNHAM,38.3,43,35
3755460,RED CROSS,46.8,45,48.5
3755640,RED OAK,42.4,41.7,43.2
3755660,RED SPRINGS,38.5,35,41.6
3755900,REIDSVILLE,41.7,38.8,44.1
3755940,RENNERT,31.2,31.9,30.3
3756100,REX,49.5,46.5,56.5
3756240,RHODHISS,40.2,39.4,40.9
3756340,RICHFIELD,37.4,35.2,40.5
3756360,RICHLANDS,30.6,28.8,32.2
3756440,RICH SQUARE,50.8,46.6,53.1
3756600,RIEGELWOOD,41.6,41.8,41.5
3756710,RIVER BEND,56.8,54.5,58.5
3756815,RIVER ROAD,40.5,39.1,42.3
3756900,ROANOKE RAPIDS,37.9,35.8,39.5
3757000,ROBBINS,31.4,29.8,32.5
3757020,ROBBINSVILLE,39.3,37.1,45.2
3757100,ROBERSONVILLE,49.9,47.2,51.5
3757200,ROCKFISH,29.6,29.2,30
3757260,ROCKINGHAM,38.2,35.2,40.8
3757340,ROCKWELL,39.3,37.3,41.2
3757500,ROCKY MOUNT,38.7,36.1,40.6
3757540,ROCKY POINT,32.4,33,31.6
3757580,RODANTHE,42.5,38.6,47.3
3757640,ROLESVILLE,35.2,33.9,35.9
3757700,RONDA,43.1,38.9,45
3757740,ROPER,40.1,36.5,42.1
3757800,ROSEBORO,43.6,41.6,45.8
3757860,ROSE HILL,40.5,37,42.8
3758020,ROSMAN,38,36.4,39
3758040,ROUGEMONT,48.9,49.2,48.3
3758140,ROWLAND,44.8,43.5,46.5
3758160,ROXBORO,40.2,36,43.5
3758180,ROXOBEL,50,48.3,55.1
3758260,ROYAL PINES,45.3,43.2,47.4
3758340,RUFFIN,40.9,40.1,42.9
3758360,RURAL HALL,38.2,36.6,40.1
3758420,RUTH,46.1,45.2,46.6
3758440,RUTHERFORD COLLEGE,45.5,42.3,47.8
3758460,RUTHERFORDTON,44.4,42.3,46.7
3758620,ST. HELENA,41.2,40.1,43.5
3758630,ST. JAMES,65,66.2,64
3758720,ST. PAULS,36.7,33.1,40.2
3758730,ST. STEPHENS,40.5,39.6,41.5
3758740,SALEM,44.3,42.8,45.7
3758840,SALEMBURG,48.3,48.8,47.5
3758860,SALISBURY,36.2,34.1,38.5
3758920,SALUDA,57.5,54.3,59.9
3758940,SALVO,48.2,47.1,49
3759090,SANDY CREEK,37.3,37.3,37.3
3759135,SANDYFIELD,34.4,31.2,37.5
3759280,SANFORD,33.3,32.1,34.6
3759340,SARATOGA,45.2,39.5,47.5
3759540,SAWMILLS,39.5,38.9,40.3
3759580,SAXAPAHAW,36.6,36.7,36.5
3759765,SCOTCH MEADOWS,44.3,44.4,44.3
3759780,SCOTLAND NECK,47.3,44.5,49
3759980,SEABOARD,47.3,43.5,48.9
3760000,SEA BREEZE,53,51.4,54.2
3760080,SEAGROVE,45.3,41.5,47.3
