geocode,geocode_desc,total,owned_loan,owned_clear,rented
3758140,ROWLAND,38,727,173,177
3758160,ROXBORO,1581,3786,857,279
3758180,ROXOBEL,23,106,51,12
3758260,ROYAL PINES,626,169,60,9
3758340,RUFFIN,64,48,12,4
3758360,RURAL HALL,655,456,227,22
3758420,RUTH,51,30,9,6
3758440,RUTHERFORD COLLEGE,291,4,1,0
3758460,RUTHERFORDTON,1044,359,92,53
3758620,ST. HELENA,34,82,56,18
3758630,ST. JAMES,131,29,22,2
3758720,ST. PAULS,389,391,88,70
3758730,ST. STEPHENS,1444,358,190,11
3758740,SALEM,427,23,8,1
3758840,SALEMBURG,110,30,15,4
3758860,SALISBURY,5380,10966,2818,625
3758920,SALUDA,141,6,3,0
3758940,SALVO,102,1,0,0
3759090,SANDY CREEK,54,13,13,0
3759135,SANDYFIELD,11,364,209,95
3759280,SANFORD,5332,7456,2330,558
3759340,SARATOGA,46,167,97,0
3759540,SAWMILLS,1626,42,9,0
3759580,SAXAPAHAW,332,190,98,41
3759765,SCOTCH MEADOWS,13,35,29,2
3759780,SCOTLAND NECK,106,1367,264,224
3759980,SEABOARD,33,477,177,98
3760000,SEA BREEZE,301,163,80,40
3760080,SEAGROVE,80,9,6,2
3760180,SEDALIA,24,474,321,105
3760320,SELMA,1267,2261,604,166
3760505,SEVEN DEVILS,54,6,6,0
3760515,SEVEN LAKES,343,145,80,38
3760540,SEVEN SPRINGS,31,9,6,0
3760560,SEVERN,28,87,15,43
3760800,SHALLOTTE,1053,331,83,20
3760940,SHANNON,39,71,15,41
3761060,SHARPSBURG,236,1186,297,154
3761200,SHELBY,3395,8204,2058,433
3761860,SILER CITY,1241,1489,520,211
3761920,SILVER CITY,18,805,317,246
3761950,SILVER LAKE,1196,499,293,29
3762040,SIMPSON,47,158,53,38
3762060,SIMS,56,48,23,4
3762190,SKIPPERS CORNER,361,285,196,23
3762520,SMITHFIELD,2084,2781,681,248
3762680,SNEADS FERRY,900,105,51,30
3762760,SNOW HILL,221,826,284,142
3763120,SOUTHERN PINES,2603,2957,786,316
3763130,SOUTHERN SHORES,330,7,2,0
3763240,SOUTH HENDERSON,146,599,166,130
3763340,SOUTH MILLS,82,83,34,30
3763360,SOUTHMONT,224,57,27,18
3763400,SOUTHPORT,628,423,130,112
3763470,SOUTH ROSEMARY,363,1570,678,262
3763560,SOUTH WELDON,38,549,48,52
